StartDate,FacilityLongName,numvisits,year,week,month,month.year
2009-10-04,Lions Gate Hospital,137,2009,40,10,10-09
2009-10-05,Lions Gate Hospital,132,2009,40,10,10-09
2009-10-06,Lions Gate Hospital,114,2009,40,10,10-09
2009-10-07,Lions Gate Hospital,127,2009,40,10,10-09
2009-10-08,Lions Gate Hospital,136,2009,40,10,10-09
2009-10-09,Lions Gate Hospital,128,2009,40,10,10-09
2009-10-10,Lions Gate Hospital,143,2009,40,10,10-09
2009-10-11,Lions Gate Hospital,129,2009,41,10,10-09
2009-10-12,Lions Gate Hospital,161,2009,41,10,10-09
2009-10-13,Lions Gate Hospital,143,2009,41,10,10-09
2009-10-14,Lions Gate Hospital,126,2009,41,10,10-09
2009-10-15,Lions Gate Hospital,127,2009,41,10,10-09
2009-10-16,Lions Gate Hospital,135,2009,41,10,10-09
2009-10-17,Lions Gate Hospital,144,2009,41,10,10-09
2009-10-18,Lions Gate Hospital,157,2009,42,10,10-09
2009-10-19,Lions Gate Hospital,151,2009,42,10,10-09
2009-10-20,Lions Gate Hospital,131,2009,42,10,10-09
2009-10-21,Lions Gate Hospital,118,2009,42,10,10-09
2009-10-22,Lions Gate Hospital,138,2009,42,10,10-09
2009-10-23,Lions Gate Hospital,127,2009,42,10,10-09
2009-10-24,Lions Gate Hospital,120,2009,42,10,10-09
2009-10-25,Lions Gate Hospital,143,2009,43,10,10-09
2009-10-26,Lions Gate Hospital,157,2009,43,10,10-09
2009-10-27,Lions Gate Hospital,135,2009,43,10,10-09
2009-10-28,Lions Gate Hospital,140,2009,43,10,10-09
2009-10-29,Lions Gate Hospital,140,2009,43,10,10-09
2009-10-30,Lions Gate Hospital,125,2009,43,10,10-09
2009-10-31,Lions Gate Hospital,138,2009,43,10,10-09
2009-11-01,Lions Gate Hospital,175,2009,44,11,11-09
2009-11-02,Lions Gate Hospital,158,2009,44,11,11-09
2009-11-03,Lions Gate Hospital,102,2009,44,11,11-09
2009-11-04,Lions Gate Hospital,144,2009,44,11,11-09
2009-11-05,Lions Gate Hospital,115,2009,44,11,11-09
2009-11-06,Lions Gate Hospital,149,2009,44,11,11-09
2009-11-07,Lions Gate Hospital,123,2009,44,11,11-09
2009-11-08,Lions Gate Hospital,122,2009,45,11,11-09
2009-11-09,Lions Gate Hospital,133,2009,45,11,11-09
2009-11-10,Lions Gate Hospital,127,2009,45,11,11-09
2009-11-11,Lions Gate Hospital,125,2009,45,11,11-09
2009-11-12,Lions Gate Hospital,129,2009,45,11,11-09
2009-11-13,Lions Gate Hospital,115,2009,45,11,11-09
2009-11-14,Lions Gate Hospital,131,2009,45,11,11-09
2009-11-15,Lions Gate Hospital,135,2009,46,11,11-09
2009-11-16,Lions Gate Hospital,118,2009,46,11,11-09
2009-11-17,Lions Gate Hospital,115,2009,46,11,11-09
2009-11-18,Lions Gate Hospital,129,2009,46,11,11-09
2009-11-19,Lions Gate Hospital,117,2009,46,11,11-09
2009-11-20,Lions Gate Hospital,110,2009,46,11,11-09
2009-11-21,Lions Gate Hospital,138,2009,46,11,11-09
2009-11-22,Lions Gate Hospital,130,2009,47,11,11-09
2009-11-23,Lions Gate Hospital,119,2009,47,11,11-09
2009-11-24,Lions Gate Hospital,131,2009,47,11,11-09
2009-11-25,Lions Gate Hospital,146,2009,47,11,11-09
2009-11-26,Lions Gate Hospital,112,2009,47,11,11-09
2009-11-27,Lions Gate Hospital,105,2009,47,11,11-09
2009-11-28,Lions Gate Hospital,115,2009,47,11,11-09
2009-11-29,Lions Gate Hospital,140,2009,48,11,11-09
2009-11-30,Lions Gate Hospital,116,2009,48,11,11-09
2009-12-01,Lions Gate Hospital,125,2009,48,12,12-09
2009-12-02,Lions Gate Hospital,123,2009,48,12,12-09
2009-12-03,Lions Gate Hospital,114,2009,48,12,12-09
2009-12-04,Lions Gate Hospital,140,2009,48,12,12-09
2009-12-05,Lions Gate Hospital,146,2009,48,12,12-09
2009-12-06,Lions Gate Hospital,145,2009,49,12,12-09
2009-12-07,Lions Gate Hospital,134,2009,49,12,12-09
2009-12-08,Lions Gate Hospital,113,2009,49,12,12-09
2009-12-09,Lions Gate Hospital,131,2009,49,12,12-09
2009-12-10,Lions Gate Hospital,137,2009,49,12,12-09
2009-12-11,Lions Gate Hospital,121,2009,49,12,12-09
2009-12-12,Lions Gate Hospital,134,2009,49,12,12-09
2009-12-13,Lions Gate Hospital,133,2009,50,12,12-09
2009-12-14,Lions Gate Hospital,119,2009,50,12,12-09
2009-12-15,Lions Gate Hospital,133,2009,50,12,12-09
2009-12-16,Lions Gate Hospital,142,2009,50,12,12-09
2009-12-17,Lions Gate Hospital,116,2009,50,12,12-09
2009-12-18,Lions Gate Hospital,125,2009,50,12,12-09
2009-12-19,Lions Gate Hospital,142,2009,50,12,12-09
2009-12-20,Lions Gate Hospital,137,2009,51,12,12-09
2009-12-21,Lions Gate Hospital,132,2009,51,12,12-09
2009-12-22,Lions Gate Hospital,160,2009,51,12,12-09
2009-12-23,Lions Gate Hospital,129,2009,51,12,12-09
2009-12-24,Lions Gate Hospital,134,2009,51,12,12-09
2009-12-25,Lions Gate Hospital,150,2009,51,12,12-09
2009-12-26,Lions Gate Hospital,167,2009,51,12,12-09
2009-12-27,Lions Gate Hospital,155,2009,52,12,12-09
2009-12-28,Lions Gate Hospital,158,2009,52,12,12-09
2009-12-29,Lions Gate Hospital,159,2009,52,12,12-09
2009-12-30,Lions Gate Hospital,121,2009,52,12,12-09
2009-12-31,Lions Gate Hospital,121,2009,52,12,12-09
2010-01-01,Lions Gate Hospital,146,2010,52,01,01-10
2010-01-02,Lions Gate Hospital,159,2010,52,01,01-10
2010-01-03,Lions Gate Hospital,168,2010,53,01,01-10
2010-01-04,Lions Gate Hospital,147,2010,53,01,01-10
2010-01-05,Lions Gate Hospital,139,2010,53,01,01-10
2010-01-06,Lions Gate Hospital,145,2010,53,01,01-10
2010-01-07,Lions Gate Hospital,129,2010,53,01,01-10
2010-01-08,Lions Gate Hospital,137,2010,53,01,01-10
2010-01-09,Lions Gate Hospital,118,2010,53,01,01-10
2010-01-10,Lions Gate Hospital,145,2010,54,01,01-10
2010-01-11,Lions Gate Hospital,126,2010,54,01,01-10
2010-01-12,Lions Gate Hospital,159,2010,54,01,01-10
2010-01-13,Lions Gate Hospital,111,2010,54,01,01-10
2010-01-14,Lions Gate Hospital,118,2010,54,01,01-10
2010-01-15,Lions Gate Hospital,130,2010,54,01,01-10
2010-01-16,Lions Gate Hospital,140,2010,54,01,01-10
2010-01-17,Lions Gate Hospital,145,2010,55,01,01-10
2010-01-18,Lions Gate Hospital,151,2010,55,01,01-10
2010-01-19,Lions Gate Hospital,149,2010,55,01,01-10
2010-01-20,Lions Gate Hospital,122,2010,55,01,01-10
2010-01-21,Lions Gate Hospital,141,2010,55,01,01-10
2010-01-22,Lions Gate Hospital,136,2010,55,01,01-10
2010-01-23,Lions Gate Hospital,133,2010,55,01,01-10
2010-01-24,Lions Gate Hospital,133,2010,56,01,01-10
2010-01-25,Lions Gate Hospital,147,2010,56,01,01-10
2010-01-26,Lions Gate Hospital,147,2010,56,01,01-10
2010-01-27,Lions Gate Hospital,145,2010,56,01,01-10
2010-01-28,Lions Gate Hospital,132,2010,56,01,01-10
2010-01-29,Lions Gate Hospital,145,2010,56,01,01-10
2010-01-30,Lions Gate Hospital,133,2010,56,01,01-10
2010-01-31,Lions Gate Hospital,140,2010,57,01,01-10
2010-02-01,Lions Gate Hospital,145,2010,57,02,02-10
2010-02-02,Lions Gate Hospital,140,2010,57,02,02-10
2010-02-03,Lions Gate Hospital,117,2010,57,02,02-10
2010-02-04,Lions Gate Hospital,161,2010,57,02,02-10
2010-02-05,Lions Gate Hospital,150,2010,57,02,02-10
2010-02-06,Lions Gate Hospital,131,2010,57,02,02-10
2010-02-07,Lions Gate Hospital,168,2010,58,02,02-10
2010-02-08,Lions Gate Hospital,140,2010,58,02,02-10
2010-02-09,Lions Gate Hospital,143,2010,58,02,02-10
2010-02-10,Lions Gate Hospital,116,2010,58,02,02-10
2010-02-11,Lions Gate Hospital,141,2010,58,02,02-10
2010-02-12,Lions Gate Hospital,137,2010,58,02,02-10
2010-02-13,Lions Gate Hospital,167,2010,58,02,02-10
2010-02-14,Lions Gate Hospital,146,2010,59,02,02-10
2010-02-15,Lions Gate Hospital,127,2010,59,02,02-10
2010-02-16,Lions Gate Hospital,127,2010,59,02,02-10
2010-02-17,Lions Gate Hospital,134,2010,59,02,02-10
2010-02-18,Lions Gate Hospital,130,2010,59,02,02-10
2010-02-19,Lions Gate Hospital,150,2010,59,02,02-10
2010-02-20,Lions Gate Hospital,147,2010,59,02,02-10
2010-02-21,Lions Gate Hospital,155,2010,60,02,02-10
2010-02-22,Lions Gate Hospital,167,2010,60,02,02-10
2010-02-23,Lions Gate Hospital,144,2010,60,02,02-10
2010-02-24,Lions Gate Hospital,153,2010,60,02,02-10
2010-02-25,Lions Gate Hospital,146,2010,60,02,02-10
2010-02-26,Lions Gate Hospital,132,2010,60,02,02-10
2010-02-27,Lions Gate Hospital,158,2010,60,02,02-10
2010-02-28,Lions Gate Hospital,108,2010,61,02,02-10
2010-03-01,Lions Gate Hospital,153,2010,61,03,03-10
2010-03-02,Lions Gate Hospital,134,2010,61,03,03-10
2010-03-03,Lions Gate Hospital,141,2010,61,03,03-10
2010-03-04,Lions Gate Hospital,150,2010,61,03,03-10
2010-03-05,Lions Gate Hospital,157,2010,61,03,03-10
2010-03-06,Lions Gate Hospital,154,2010,61,03,03-10
2010-03-07,Lions Gate Hospital,158,2010,62,03,03-10
2010-03-08,Lions Gate Hospital,152,2010,62,03,03-10
2010-03-09,Lions Gate Hospital,131,2010,62,03,03-10
2010-03-10,Lions Gate Hospital,153,2010,62,03,03-10
2010-03-11,Lions Gate Hospital,118,2010,62,03,03-10
2010-03-12,Lions Gate Hospital,141,2010,62,03,03-10
2010-03-13,Lions Gate Hospital,148,2010,62,03,03-10
2010-03-14,Lions Gate Hospital,167,2010,63,03,03-10
2010-03-15,Lions Gate Hospital,148,2010,63,03,03-10
2010-03-16,Lions Gate Hospital,146,2010,63,03,03-10
2010-03-17,Lions Gate Hospital,126,2010,63,03,03-10
2010-03-18,Lions Gate Hospital,124,2010,63,03,03-10
2010-03-19,Lions Gate Hospital,129,2010,63,03,03-10
2010-03-20,Lions Gate Hospital,134,2010,63,03,03-10
2010-03-21,Lions Gate Hospital,144,2010,64,03,03-10
2010-03-22,Lions Gate Hospital,147,2010,64,03,03-10
2010-03-23,Lions Gate Hospital,145,2010,64,03,03-10
